title,stream,description,required_skills,min_education,salary_range,type,difficulty,market_demand
Software Engineer,Engineering/Technology,Design development and testing of software applications. Solve programming challenges.,Python;JavaScript;SQL;Git;Algorithms;Data Structures,Undergraduate (B.Tech/BCA/B.Sc),400000 - 1800000,Private Sector,Hard,High
Data Scientist,Science/Computer Applications,Analyze data sets to extract insights and build predictive machine learning models.,Python;Machine Learning;SQL;Pandas;NumPy;Data Visualization,Undergraduate (B.Sc/BCA/B.Tech),600000 - 2400000,Private Sector,Hard,High
Chartered Accountant (CA),Commerce/Management,Manage financial accounts audit reports tax returns and corporate strategies.,Taxation;Auditing;Accounting Standards;Excel;Financial Analysis,B.Com/BBA + ICAI Exam,700000 - 2000000,Private Sector,Hard,High
UX/UI Designer,Design/Arts,Design interface and user experiences for apps and website interfaces.,Figma;Prototyping;Wireframing;UX Design;Visual Communication,Undergraduate (B.Des/BFA/Arts),400000 - 1200000,Private Sector,Medium,High
Civil/Structural Engineer,Engineering/Technology,Plan and supervise construction projects such as bridges roads and structures.,AutoCAD;Structural Analysis;Project Management;Estimation,Undergraduate (B.Tech/Diploma),350000 - 900000,Private Sector,Medium,Moderate
Pharmacist,Pharmacy/Medical,Dispense medications advise patients on drug safety and oversee retail inventories.,Pharmacology;Drug Chemistry;Inventory;Regulations;Customer Service,Undergraduate (B.Pharm/D.Pharm),250000 - 650000,Private Sector,Medium,High
Corporate Lawyer,Law,Advise businesses on mergers contract compliance and coordinate court filings.,Contract Drafting;Corporate Law;Litigation;Legal Research;Negotiation,Undergraduate (LLB/BA-LLB),600000 - 1800000,Private Sector,Hard,High
Agricultural Consultant,Agriculture/Science,Consult soil quality crop yields water resources and sustainable policies.,Agronomy;Soil Science;Pest Management;Sustainability;Irrigation,Undergraduate (B.Sc Agriculture),300000 - 700000,Private Sector,Medium,Growing
Secondary School Teacher,Education/Humanities,Plan lessons grade tests and manage classroom courses for secondary classes.,Classroom Management;Lesson Planning;Communication;Evaluation,Undergraduate + B.Ed,300000 - 650000,Government Sector,Medium,Stable
Hotel Manager,Hotel Management/Vocational,Supervise daily operations of a hotel resort kitchen procurement and staff.,Hospitality Management;Operations;Budgeting;Customer Relations;Staffing,Undergraduate (BHM/Hospitality),400000 - 1000000,Private Sector,Medium,Growing
Cloud Architect,Engineering/Technology,Design and implement enterprise cloud strategy cloud infrastructures and manage cloud migrations.,Cloud Computing;AWS;Azure;Kubernetes;Docker;DevOps,Undergraduate (B.Tech/BCA/B.Sc),600000 - 2200000,Private Sector,Hard,High
Digital Marketer,Commerce/Management,Plan and execute online advertising campaigns search engine optimization and social media branding.,SEO;SEM;Google Analytics;Content Writing;Social Media Marketing;Copywriting,Undergraduate (BBA/B.Com/B.A),300000 - 1200000,Private Sector,Medium,High
Graphic Designer,Design/Arts,Create visual concepts marketing designs illustrations and company brand logos.,Photoshop;Illustrator;InDesign;Typography;Branding;Creativity,Undergraduate (B.Des/BFA/Diploma),250000 - 900000,Private Sector,Medium,Growing
Product Manager,Commerce/Management,Define product roadmap manage software lifecycle coordinates engineering and marketing teams.,Agile;Product Strategy;User Research;Jira;Analytics;Roadmapping,Undergraduate + MBA,800000 - 2600000,Private Sector,Hard,High
Financial Analyst,Commerce/Management,Perform financial modeling evaluate investment opportunities analyze corporate statements and assess market risks.,Financial Modeling;Excel;Valuation;Accounting;Python;Analytical Thinking,Undergraduate (B.Com/BBA/B.Sc),400000 - 1500000,Private Sector,Hard,Growing
HR Specialist,Commerce/Management,Manage employee recruitment talent acquisition workplace policies employee relations and performance evaluations.,Recruiting;Interpersonal Skills;HR Policy;Conflict Resolution;Negotiation,Undergraduate (BBA/B.Com/B.A),300000 - 900000,Private Sector,Easy,Stable
Doctor,Medical/Pharmacy,Diagnose patient illnesses prescribe pharmaceutical medications execute surgical treatments and consult healthcare options.,Clinical Medicine;Surgery;Patient Diagnosis;Therapeutics;Healthcare Regulations,MBBS/MD,800000 - 3000000,Private Sector,Hard,High
Mechanical Engineer,Engineering/Technology,Design mechanical machinery optimize automotive equipment manage factory logistics and test manufacturing parts.,CAD;SolidWorks;Thermodynamics;Fluid Mechanics;Manufacturing Processes,Undergraduate (B.Tech),350000 - 1100000,Private Sector,Hard,Moderate
Content Writer,Humanities/Arts,Write engaging article text blog posts marketing copies and digital web content for brands and publications.,Content Writing;Copywriting;SEO;Research;Editing;Blogging;Creative Writing,Undergraduate (B.A. English/Humanities/Journalism),250000 - 700000,Private Sector,Easy,Growing
Clinical Psychologist,Humanities/Arts,Diagnose and treat mental emotional and behavioral disorders. Conduct counseling sessions and clinical assessments.,Clinical Psychology;Counseling;Patient Care;Active Listening;Emotional Intelligence;Mental Health Regulations,Postgraduate (M.A./M.Sc Psychology) & M.Phil,400000 - 1200000,Private Sector,Hard,High
Chef / Culinary Artist,Hotel Management/Vocational,Plan menus prepare high-quality culinary dishes supervise kitchen staff and oversee food safety in commercial kitchens.,Culinary Arts;Menu Planning;Kitchen Operations;Food Safety;Recipe Development;Plating,Undergraduate (BHM / Diploma in Culinary Arts),300000 - 1500000,Private Sector,Medium,Growing
Industrial Electrician,Hotel Management/Vocational,Install maintain and repair electrical systems heavy machinery controls and wiring in industrial settings.,Electrical Wiring;Troubleshooting;PLC Systems;Blueprint Reading;Safety Standards;Industrial Equipment,ITI Certification / Diploma in Electrical Engineering,200000 - 550000,Private Sector,Medium,Stable
Database Administrator,Science/Computer Applications,Configure manage monitor and optimize database management systems (DBMS) to ensure high-performance security and data integrity.,SQL;Database Administration;Backup & Recovery;Performance Tuning;Security Compliance;Oracle;PostgreSQL,Undergraduate (BCA/B.Sc CS/B.Tech),500000 - 1400000,Private Sector,Medium,Stable
Cybersecurity Analyst,Engineering/Technology,Protect organization networks firewalls and data assets from cyber threats malware hacking attacks and security vulnerabilities.,Network Security;Penetration Testing;Threat Intelligence;Firewalls;Linux;Cryptography;Incident Response,Undergraduate (B.Tech/BCA/B.Sc CS),500000 - 1600000,Private Sector,Hard,High
Fashion Designer,Design/Arts,Sketch fashion designs select textile fabrics create custom clothing apparel and accessories and present runway lines.,Fashion Design;Sketching;Textile Selection;Pattern Making;Sewing;Trend Analysis;Creativity,Undergraduate (B.Des Fashion / Diploma in Fashion Tech),250000 - 950000,Private Sector,Medium,Growing
Machine Learning Engineer,Science/Computer Applications,Design build and deploy machine learning models and artificial intelligence systems to solve complex business problems.,Python;Machine Learning;Deep Learning;SQL;PyTorch;TensorFlow,Undergraduate (B.Tech/BCA/B.Sc CS),₹800000 - ₹2500000,Private Sector,Hard,High
Investment Banker,Commerce/Management,Advise corporations and governments on financial strategies execute mergers and acquisitions and raise capital through debt and equity.,Financial Modeling;Investment Valuation;Excel;Analytical Thinking;Corporate Finance,Undergraduate + MBA (Finance) / CFA,₹1000000 - ₹3500000,Private Sector,Hard,High
Veterinarian,Medical/Pharmacy,Diagnose treat and prevent illnesses and injuries in domestic animals livestock and wildlife. Perform veterinary surgeries.,Animal Care;Clinical Medicine;Veterinary Surgery;Pharmacology;Pathology,Undergraduate (BVSc & AH),₹400000 - ₹1200000,Private Sector,Hard,High
Architect,Design/Arts,Plan design and supervise the construction of residential commercial and public buildings. Ensure aesthetic and structural feasibility.,AutoCAD;SketchUp;Revit;Architectural Design;Space Planning;Blueprint Reading,Undergraduate (B.Arch),₹400000 - ₹1500000,Private Sector,Hard,Moderate
